Sample name,Material Thickness (mm),Material,Time(s),Deformation(mm),Deflection at standard load (mm),Crosshead displacement (mm),Force applied (N),Bending module speed,Bending module,Bending strength,Deformation at bending strength
"""PA_0,1_I_2""",1,PA,9.88275,0,0,0,9.95347,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,9.98275,-8.20365e-06,-8.20365e-06,-8.20365e-06,9.89219,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.0828,0,0,0,10.1586,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.1828,-8.20365e-06,-8.20365e-06,-8.20365e-06,9.64304,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.2828,-8.20365e-06,-8.20365e-06,-8.20365e-06,9.67167,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.3828,0.000139258,0.000139258,0.000139258,9.83597,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.4828,0.000811837,0.000811837,0.000811837,9.93949,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.5728,0.00182893,0.00182893,0.00182893,9.92749,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.6428,0.00291135,0.00291135,0.00291135,10.0441,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.7028,0.00401094,0.00401094,0.00401094,9.92377,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.7528,0.00506952,0.00506952,0.00506952,9.5683,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.8028,0.00627496,0.00627496,0.00627496,9.81632,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.8428,0.00731637,0.00731637,0.00731637,10.3434,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.8828,0.00843217,0.00843217,0.00843217,10.3788,2.0,1441.88,87.1449,7.32024
"""PA_0,1_I_2""",1,PA,10.9228,0.00965478,0.00965478,0.00965478,10.6231,2.0,1441.88,87.1449,7.32024
