Time(s),Deformation(mm),Deflection at standard load (mm),Crosshead displacement (mm),Force applied (N),static:pre-load,static:Bending module speed,static:Test speed,static:Sample name,static:Bending module,static:Bending stress at maximum allowed deflection,static:Bending strength,static:Deformation at bending strength,static:Material Thickness (mm),static:Material
9.73703,0,0,0,9.83453,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
9.83703,0,0,0,10.0377,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
9.93703,-8.20365e-06,-8.20365e-06,-8.20365e-06,10.5378,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.037,-3.78137e-08,-3.78137e-08,-3.78137e-08,10.1187,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.137,0,0,0,10.2031,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.237,0.000106514,0.000106514,0.000106514,10.4793,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.337,0.000746429,0.000746429,0.000746429,10.1375,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.437,0.00185317,0.00185317,0.00185317,10.2216,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.507,0.00293654,0.00293654,0.00293654,9.84455,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.567,0.00405997,0.00405997,0.00405997,9.61933,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.617,0.00512713,0.00512713,0.00512713,10.0073,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.667,0.00632495,0.00632495,0.00632495,10.0535,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.707,0.00736636,0.00736636,0.00736636,9.85577,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.747,0.00849742,0.00849742,0.00849742,9.83856,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
10.787,0.0097124,0.0097124,0.0097124,9.9093,10.0,2.0,10.0,"PA_0,1_I_1",1454.44,63.8947,86.308,6.65932,1,PA
