Time(s),Test time,Traversenweg absolut,Deflection at standard load(%),Compression(%),Nominal Compression(mm),Force applied(N),static:Sample name,static:0.2% Yield Strength (Compressive),static:Maximum compressive strength,static:Total strain stress at maximum compressive strength,static:Compressive stress at maximum strain,static:Compressive Modulus via Hysteresis,static:Compressive Modulus,static:Material Thickness (mm),static:Material
20.3869,0,810.055,0,0,0,201.764,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.4936,0.10672,810.055,0.0101739,0.0101739,-8.20365e-06,201.54,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.5936,0.20672,810.055,0.00536887,0.00536887,0,200.973,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.6936,0.30672,810.055,0.00348809,0.00348809,-8.20365e-06,201.43,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.7936,0.40672,810.055,-0.00623081,-0.00623081,0,200.411,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.8936,0.50672,810.055,-0.00721442,-0.00721442,2.45729e-05,200.968,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
20.9936,0.60672,810.055,-0.00683972,-0.00683972,9.84115e-05,200.953,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.0936,0.70672,810.056,-0.00727771,-0.00727771,0.000237886,201.297,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.1936,0.80672,810.056,-0.0125978,-0.0125978,0.000410084,202.337,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.2936,0.90672,810.056,-0.0116897,-0.0116897,0.000648026,203.195,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.3436,0.95672,810.056,-0.00691582,-0.00691582,0.000779275,204.205,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.3736,0.98672,810.056,-0.00683922,-0.00683922,0.000869517,205.269,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.4136,1.02672,810.056,-0.00348171,-0.00348171,0.000992422,206.501,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.4436,1.05672,810.056,-0.000546133,-0.000546133,0.00109101,207.526,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.4836,1.09672,810.057,-0.000262536,-0.000262536,0.00121403,208.677,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.5136,1.12672,810.057,0.00295215,0.00295215,0.00132895,209.872,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.5436,1.15672,810.057,0.00582336,0.00582336,0.00144363,210.942,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.5736,1.18672,810.057,0.00631356,0.00631356,0.00156689,212.009,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.6136,1.22672,810.057,0.00410829,0.00410829,0.00173092,213.355,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.6368,1.24994,810.057,0.00200965,0.00200965,0.00182049,214.382,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.6636,1.27672,810.057,0.00248255,0.00248255,0.00194407,215.631,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.6836,1.29672,810.057,0.00283573,0.00283573,0.00203443,216.736,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.7036,1.31672,810.057,0.00138849,0.00138849,0.00212455,217.736,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.7336,1.34672,810.058,-0.00130167,-0.00130167,0.00226403,218.986,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.7636,1.37672,810.058,-0.00108135,-0.00108135,0.00241185,220.277,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.7869,1.39999,810.058,-0.000637139,-0.000637139,0.00252637,221.386,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.8136,1.42672,810.058,-0.00297793,-0.00297793,0.002666,222.893,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
21.8336,1.44672,810.058,-0.00472938,-0.00472938,0.00277281,223.986,"PA_0,1_I_1",,78.9068,,77.2657,1.13857,1.16503,1,PA
